position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Centre-Back,22,5,England,Premier League,Brighton & Hove Albion,Italy,Serie A,SSC Napoli,5
Central Midfield,27,5,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,5
Centre-Forward,25,5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,5
Central Midfield,22,3,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Royal Antwerp FC,5
Right Winger,25,4,Portugal,Liga Portugal,Sporting CP,Brazil,Série A,Sociedade Esportiva Palmeiras,5
Right-Back,24,5,Mexico,Liga MX Apertura,CF América,Netherlands,Eredivisie,Ajax Amsterdam,5
Left Winger,22,0.8,Brazil,Série A,Coritiba Foot Ball Club,Netherlands,Eredivisie,Feyenoord Rotterdam,5
Right-Back,18,5,Scotland,Premiership,Aberdeen FC,England,Premier League,Liverpool FC,4
Centre-Forward,23,5,France,Ligue 1,RC Lens,France,Ligue 1,FC Nantes,4
Centre-Forward,24,5,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,Boavista FC,4
Defensive Midfield,19,5,France,Ligue 2,SM Caen,France,Ligue 1,Olympique Lyon,4
Centre-Forward,25,5,Russia,Premier Liga,Spartak Moscow,Spain,LaLiga,Elche CF,4
Centre-Back,21,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,4
Defensive Midfield,22,5,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,RC Lens,4
Centre-Back,24,5,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FSV Mainz 05,3
Defensive Midfield,25,5,Portugal,Liga Portugal,FC Paços de Ferreira,Portugal,Liga Portugal,FC Porto,3
Attacking Midfield,23,5,Portugal,Liga Portugal,CD Santa Clara,Turkey,Süper Lig,Fenerbahce SK,3
Centre-Back,24,5,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,KAA Gent,3
Centre-Back,28,5,Greece,Super League 1,Olympiacos Piraeus,Qatar,Stars League,Al-Duhail SC,3
Centre-Forward,22,5,Belgium,Jupiler Pro League,Standard Liège,Turkey,Süper Lig,Besiktas JK,3
Centre-Back,20,5,Croatia,SuperSport HNL,HNK Hajduk Split,Germany,2. Bundesliga,Hamburger SV,3
Right-Back,24,5,Germany,Bundesliga,VfB Stuttgart,Spain,LaLiga,RCD Mallorca,3
Central Midfield,26,5,Belgium,Jupiler Pro League,RSC Anderlecht,England,Championship,Burnley FC,3
Centre-Forward,25,5,France,Ligue 1,RC Lens,Portugal,Liga Portugal,SC Braga,3
Centre-Forward,31,5,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,3
Centre-Forward,23,5,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,ESTAC Troyes,3
Centre-Back,27,5,Turkey,Süper Lig,Konyaspor,Turkey,Süper Lig,Galatasaray A.S.,2
Centre-Forward,25,5,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Atlas Guadalajara,2
Central Midfield,27,5,Russia,Premier Liga,FK Krasnodar,Spain,LaLiga,RCD Espanyol Barcelona,2
Central Midfield,29,5,England,Championship,Norwich City,France,Ligue 1,Stade Brestois 29,2
Right Midfield,28,5,France,Ligue 1,Angers SCO,France,Ligue 1,RC Lens,2
Centre-Forward,25,5,France,Ligue 1,FC Lorient,Turkey,Süper Lig,Trabzonspor,2
Centre-Back,23,5,France,Ligue 1,Olympique Marseille,France,Ligue 1,RC Strasbourg Alsace,1
Central Midfield,28,5,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,1
Centre-Forward,25,5,Russia,Premier Liga,Lokomotiv Moscow,Czech Republic,Fortuna Liga,AC Sparta Prague,1
Left Winger,25,5,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,Adana Demirspor,1
Central Midfield,27,5,United States,MLS,Colorado Rapids,Canada,MLS,Toronto FC,0.955
Centre-Back,27,5,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,0.6
Left-Back,28,5,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,0.5
Goalkeeper,30,5,Spain,LaLiga,Real Sociedad,Denmark,Superligaen,FC Copenhagen,0.5
Central Midfield,27,5,Spain,LaLiga,RCD Espanyol Barcelona,Italy,Serie A,US Salernitana 1919,0.3
Central Midfield,32,5,Spain,LaLiga,Atlético de Madrid,United States,MLS,Houston Dynamo FC,free transfer
Centre-Back,24,5,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,SV Werder Bremen,free transfer
Left Winger,33,5,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Al-Fayha FC,free transfer
Centre-Forward,32,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,RCD Espanyol Barcelona,free transfer
Right Winger,26,5,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Zenit St. Petersburg,free transfer
Defensive Midfield,33,5,England,Premier League,Manchester United,Italy,Serie A,AS Roma,free transfer
Left Winger,32,5,Qatar,Stars League,Al-Rayyan SC,Qatar,Stars League,Al-Gharafa SC,free transfer
Right-Back,30,5,Spain,LaLiga,Atlético de Madrid,Greece,Super League 1,Olympiacos Piraeus,free transfer
Goalkeeper,33,5,Italy,Serie A,SSC Napoli,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Centre-Forward,20,5,Italy,Serie A,Inter Milan,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer
Central Midfield,30,5,England,Premier League,Fulham FC,England,Championship,Hull City,free transfer
Left Winger,28,5,England,League One,Derby County,Scotland,Premiership,Rangers FC,free transfer
Central Midfield,30,5,England,Premier League,Newcastle United,England,Championship,Reading FC,loan transfer
Centre-Back,28,5,Canada,MLS,Toronto FC,Mexico,Liga MX Apertura,FC Juárez,free transfer
Goalkeeper,31,5,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Left-Back,22,5,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,loan transfer
Left-Back,20,5,England,Premier League 2,Chelsea FC U21,England,Championship,Burnley FC,loan transfer
Central Midfield,31,5,China,Super League,Shanghai Port,Scotland,Premiership,Celtic FC,free transfer
Right-Back,24,5,Germany,Bundesliga,1.FSV Mainz 05,France,Ligue 1,RC Strasbourg Alsace,loan transfer
Right-Back,20,5,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,loan transfer
Left-Back,23,5,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,loan transfer
Attacking Midfield,31,5,Brazil,Série A,Santos FC,Brazil,Série B,Esporte Clube Bahia,free transfer
Central Midfield,25,5,Netherlands,Eredivisie,Vitesse Arnhem,Netherlands,Eredivisie,AZ Alkmaar,free transfer
Left-Back,28,5,England,Premier League,West Ham United,Turkey,Süper Lig,Besiktas JK,loan transfer
Centre-Back,30,5,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,loan transfer
Centre-Back,19,5,England,Premier League 2,Chelsea FC U21,England,Premier League,Brighton & Hove Albion,loan transfer
Central Midfield,24,5,Italy,Serie A,AS Roma,Italy,Serie A,UC Sampdoria,loan transfer
Goalkeeper,30,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,UD Almería,free transfer
Centre-Back,28,5,England,Premier League,Arsenal FC,Italy,Serie A,AC Monza,loan transfer
Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Botafogo de Futebol e Regatas,loan transfer
Defensive Midfield,22,5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,loan transfer
Central Midfield,21,5,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,loan transfer
Centre-Forward,21,5,England,Premier League,Fulham FC,England,Championship,Middlesbrough FC,loan transfer
Left-Back,24,5,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Lecce,loan transfer
Centre-Back,20,5,England,Premier League,Liverpool FC,Germany,Bundesliga,FC Schalke 04,loan transfer
Right Winger,25,5,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie A,US Lecce,loan transfer
Defensive Midfield,30,5,England,Premier League,Southampton FC,Spain,LaLiga,Girona FC,?
Attacking Midfield,30,5,Italy,Serie A,Torino FC,Italy,Serie A,Hellas Verona,loan transfer
Left-Back,29,5,France,Ligue 1,Paris Saint-Germain,England,Premier League,Fulham FC,loan transfer
Centre-Back,22,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,loan transfer
Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,US Cremonese,loan transfer
Left Winger,21,5,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Mirandés,loan transfer
Centre-Back,23,5,England,Premier League,Brentford FC,France,Ligue 1,OGC Nice,loan transfer
Attacking Midfield,29,4,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),Turkey,Süper Lig,Sivasspor,free transfer
Centre-Forward,27,2,Ecuador,Serie A Segunda Etapa,LDU Quito,Mexico,Liga MX Apertura,CF Monterrey,4
Defensive Midfield,24,4,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Ettifaq FC,2
Attacking Midfield,26,3,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,SC Freiburg,4
Centre-Forward,25,4,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,4
Centre-Back,26,3,Italy,Serie A,SS Lazio,Denmark,Superligaen,FC Copenhagen,4
Centre-Forward,21,2,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,4
Central Midfield,18,3,Turkey,Süper Lig,Besiktas JK,Italy,Serie A,Torino FC,4
Central Midfield,26,4,Spain,LaLiga2,SD Eibar,Spain,LaLiga,RCD Espanyol Barcelona,4
Central Midfield,20,3,Greece,Super League 1,Panathinaikos Athens,Portugal,Liga Portugal,Sporting CP,4
Defensive Midfield,24,4,France,Ligue 1,RC Lens,Norway,Eliteserien,FK Bodø/Glimt,4
Centre-Back,20,4,Argentina,Liga Profesional,CA Boca Juniors,Belgium,Jupiler Pro League,Royal Antwerp FC,4
Second Striker,21,4,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,4
Centre-Forward,28,4,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Panathinaikos Athens,3
Centre-Back,22,4,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,1. FC Köln,2
Central Midfield,32,4,England,Championship,Watford FC,France,Ligue 1,FC Nantes,2
Attacking Midfield,21,4,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Netherlands,Eredivisie,Feyenoord Rotterdam,2
Goalkeeper,26,4,Italy,Serie B,Benevento Calcio,Italy,Serie A,Hellas Verona,1
Centre-Forward,31,4,Greece,Super League 1,Olympiacos Piraeus,Brazil,Série A,Botafogo de Futebol e Regatas,1
Centre-Back,29,4,Scotland,Premiership,Celtic FC,France,Ligue 1,Montpellier HSC,1
Centre-Back,23,4,Japan,J1 League,Júbilo Iwata,Germany,Bundesliga,VfB Stuttgart,0.4
Centre-Forward,23,4,Mexico,Liga MX Apertura,Atlético de San Luis,Mexico,Liga MX Apertura,CF Monterrey,free transfer
Attacking Midfield,20,4,Brazil,Série A,Santos FC,Brazil,Série A,Cuiabá Esporte Clube (MT),loan transfer
Centre-Forward,25,4,England,Championship,Sheffield United,Germany,Bundesliga,SV Werder Bremen,free transfer
Centre-Forward,28,4,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,SC Freiburg,free transfer
Defensive Midfield,23,4,Belgium,Challenger Pro League,Lommel SK,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Right-Back,25,4,France,Ligue 1,Montpellier HSC,Italy,Serie A,US Salernitana 1919,free transfer
Centre-Forward,24,4,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,?
Left Winger,28,4,Ukraine,Premier Liga,Dynamo Kyiv,Greece,Super League 1,Panathinaikos Athens,free transfer
Centre-Forward,28,4,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,loan transfer
Central Midfield,27,4,Italy,Serie B,Parma Calcio 1913,Switzerland,Super League,FC Sion,loan transfer
Left Winger,29,4,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Greece,Super League 1,Panathinaikos Athens,free transfer
Centre-Back,24,4,Argentina,Liga Profesional,Club Estudiantes de La Plata,Germany,Bundesliga,Hertha BSC,?
Attacking Midfield,24,4,France,Ligue 1,Stade Reims,France,Ligue 2,Paris FC,loan transfer
Attacking Midfield,28,4,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,loan transfer
Centre-Back,22,4,Germany,Bundesliga,Borussia Mönchengladbach,England,Championship,Burnley FC,loan transfer
Left-Back,21,3,Argentina,Liga Profesional,Club Atlético Lanús,Scotland,Premiership,Celtic FC,4
Centre-Forward,26,3,Argentina,Liga Profesional,Club Estudiantes de La Plata,Mexico,Liga MX Apertura,UNAM Pumas,4
Central Midfield,21,4,Germany,Bundesliga,FC Schalke 04,Netherlands,Eredivisie,FC Utrecht,0.5
Right Winger,21,1,Chile,Primera División,CSD Colo Colo,Argentina,Liga Profesional,CA River Plate,4
Centre-Back,21,1,Uruguay,Primera División,Club Nacional,Russia,Premier Liga,Dynamo Moscow,4
Centre-Back,29,4,Italy,Serie A,Bologna FC 1909,Turkey,Süper Lig,Trabzonspor,free transfer
Centre-Forward,23,2,Italy,Serie A,US Sassuolo,Netherlands,Eredivisie,AZ Alkmaar,4
Left Winger,24,3,Sweden,Allsvenskan,Malmö FF,France,Ligue 1,FC Toulouse,4
Left Winger,22,4,United States,MLS,Los Angeles FC,Mexico,Liga MX Apertura,CF América,5
Central Midfield,23,2,Italy,Serie A,Atalanta BC,Italy,Serie B,Genoa CFC,4
Central Midfield,25,3,Switzerland,Super League,BSC Young Boys,Italy,Serie A,Bologna FC 1909,4
Goalkeeper,24,3,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,4
Centre-Forward,25,3,Belgium,Jupiler Pro League,KV Mechelen,Belgium,Jupiler Pro League,KAA Gent,4
Centre-Back,22,3,Italy,Serie A,Atalanta BC,Croatia,SuperSport HNL,GNK Dinamo Zagreb,4
Central Midfield,25,3,Denmark,Superligaen,FC Copenhagen,Germany,Bundesliga,SV Werder Bremen,4
Centre-Back,23,3,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,Udinese Calcio,4
Left Winger,23,4,Turkey,Süper Lig,Antalyaspor,England,Championship,Hull City,4
Left-Back,23,2,France,Ligue 1,Angers SCO,Italy,Serie A,Udinese Calcio,4
Centre-Forward,21,4,Mexico,Liga MX Apertura,CD Cruz Azul,Netherlands,Eredivisie,Feyenoord Rotterdam,4
Right Winger,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,England,Championship,Burnley FC,4
Attacking Midfield,24,3,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,FC Porto,4
Left Winger,19,2,France,Ligue 2,FC Sochaux-Montbéliard,France,Ligue 1,LOSC Lille,4
Centre-Back,21,0.8,Colombia,Liga DIMAYOR II,Atlético Nacional,Italy,Serie A,Hellas Verona,4
Left Winger,21,1,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Burnley FC,4
Left Winger,24,1,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,Sporting CP,4
Defensive Midfield,27,4,Portugal,Liga Portugal,CD Santa Clara,Portugal,Liga Portugal,Sporting CP,3
Defensive Midfield,24,4,Belgium,Jupiler Pro League,Royal Antwerp FC,Italy,Serie A,Hellas Verona,3
Centre-Forward,23,4,England,Premier League,Brentford FC,England,Championship,Middlesbrough FC,3
Centre-Forward,29,4,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Deportivo Toluca,3
Central Midfield,23,4,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,US Salernitana 1919,3
Right-Back,23,4,Spain,LaLiga,Sevilla FC,Spain,LaLiga,UD Almería,3
Centre-Back,30,4,Spain,LaLiga,Celta de Vigo,Mexico,Liga MX Apertura,CF América,3
Centre-Forward,31,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,PSV Eindhoven,3
Right Winger,21,4,Germany,Bundesliga,FC Schalke 04,Scotland,Premiership,Rangers FC,3
Centre-Forward,28,4,Uruguay,Primera División,Club Deportivo Maldonado,Brazil,Série A,São Paulo Futebol Clube,2
Goalkeeper,33,4,England,Premier League,Newcastle United,England,Premier League,Manchester United,2
Central Midfield,28,4,Spain,LaLiga2,Levante UD,Spain,LaLiga,UD Almería,1
Right-Back,25,4,Mexico,Liga MX Apertura,UNAM Pumas,Mexico,Liga MX Apertura,Deportivo Guadalajara,1
Central Midfield,24,4,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,FC Augsburg,1
Defensive Midfield,23,4,Netherlands,Eredivisie,PSV Eindhoven,Netherlands,Eredivisie,Twente Enschede FC,1
Goalkeeper,34,4,Portugal,Liga Portugal,FC Porto,Spain,LaLiga,Celta de Vigo,1
Goalkeeper,35,4,England,Premier League,Leicester City,France,Ligue 1,OGC Nice,1
Central Midfield,23,4,France,Ligue 2,AS Saint-Étienne,Portugal,Liga Portugal,FC Famalicão,1
Centre-Back,27,4,France,Ligue 2,FC Metz,Italy,Serie A,US Salernitana 1919,1
Centre-Forward,31,4,Argentina,Liga Profesional,CA River Plate,Brazil,Série A,Sport Club Internacional,0.9
Central Midfield,21,4,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,FC Schalke 04,0.5
Centre-Back,23,4,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,0.5
Right-Back,27,4,Portugal,Liga Portugal,Vitória Guimarães SC,France,Ligue 1,Montpellier HSC,0.5
Central Midfield,26,4,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Turkey,Süper Lig,Fatih Karagümrük,0.42
Goalkeeper,24,4,Spain,LaLiga2,SD Huesca,Spain,LaLiga,RCD Espanyol Barcelona,0.4
Centre-Forward,26,4,Brazil,Série A,Fortaleza Esporte Clube,"Korea, South",K League 2,Daejeon Hana Citizen,0.2
Centre-Forward,20,4,Germany,Bundesliga,VfL Wolfsburg,Netherlands,Eredivisie,Vitesse Arnhem,0.2
Central Midfield,26,4,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Rayo Vallecano,free transfer
Centre-Back,22,4,France,Ligue 1,OGC Nice,Switzerland,Super League,FC Basel 1893,?
Right Winger,21,4,France,Ligue 1,OGC Nice,Switzerland,Super League,FC Basel 1893,?
Centre-Back,24,4,Netherlands,Eredivisie,Vitesse Arnhem,Germany,Bundesliga,1.FC Union Berlin,free transfer
Left Winger,24,4,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Montpellier HSC,free transfer
Centre-Forward,23,4,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,Feyenoord Rotterdam,free transfer
Centre-Forward,35,4,England,Premier League,Manchester United,Spain,LaLiga,Valencia CF,free transfer
Central Midfield,27,4,Turkey,Süper Lig,Hatayspor,England,Championship,Hull City,free transfer
Centre-Forward,30,4,France,Ligue 1,Angers SCO,Turkey,Süper Lig,Kasimpasa,free transfer
Centre-Forward,31,4,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Montpellier HSC,free transfer
Right-Back,25,4,England,Premier League,Everton FC,Germany,Bundesliga,Hertha BSC,free transfer
Centre-Forward,34,4,Spain,LaLiga2,Levante UD,Spain,LaLiga,Villarreal CF,free transfer
Attacking Midfield,19,4,France,Ligue 1,Paris Saint-Germain,Netherlands,Eredivisie,PSV Eindhoven,free transfer
Right-Back,27,4,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,free transfer
Centre-Forward,21,4,Italy,Serie A,Atalanta BC,Italy,Serie A,Hellas Verona,loan transfer
Central Midfield,25,4,Spain,LaLiga2,SD Huesca,Spain,LaLiga,Getafe CF,free transfer
Defensive Midfield,25,4,England,Championship,Birmingham City,Germany,Bundesliga,Hertha BSC,loan transfer
Central Midfield,29,4,Spain,LaLiga,Cádiz CF,Greece,Super League 1,AEK Athens,free transfer
Defensive Midfield,33,4,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Atlético de Madrid,free transfer
Left Winger,26,4,France,Ligue 1,Olympique Marseille,Italy,Serie A,Torino FC,loan transfer
Goalkeeper,33,4,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Real Valladolid CF,free transfer
Centre-Forward,22,4,Russia,Premier Liga,FK Krasnodar,Italy,Serie A,US Salernitana 1919,free transfer
Right-Back,30,4,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Cádiz CF,free transfer
Right Winger,27,4,Italy,Serie A,AC Milan,Spain,LaLiga,Valencia CF,free transfer
Left Winger,28,4,Mexico,Liga MX Apertura,Santos Laguna,Uruguay,Primera División,CA Peñarol,loan transfer
Central Midfield,26,4,Spain,LaLiga,Celta de Vigo,Greece,Super League 1,AEK Athens,loan transfer
Centre-Back,21,4,England,Premier League,Liverpool FC,England,Championship,Blackpool FC,loan transfer
Attacking Midfield,25,4,Belgium,Jupiler Pro League,Standard Liège,France,Ligue 2,AS Saint-Étienne,loan transfer
Left Winger,27,4,United States,MLS,New York City FC,Saudi Arabia,Professional League,Al-Raed,loan transfer
Left Winger,26,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Attacking Midfield,32,4,Portugal,Liga Portugal,SL Benfica,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,free transfer
Defensive Midfield,25,4,Portugal,Liga Portugal,FC Porto,England,Championship,Reading FC,loan transfer
Defensive Midfield,24,4,England,League One,Derby County,England,Championship,Birmingham City,loan transfer
Attacking Midfield,30,4,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,free transfer
Centre-Back,25,4,Portugal,Liga Portugal,Boavista FC,Croatia,SuperSport HNL,HNK Hajduk Split,loan transfer
Centre-Forward,21,4,England,Premier League 2,Arsenal FC U21,France,Ligue 1,Stade Reims,loan transfer
Centre-Back,20,4,Portugal,Liga Portugal,Sporting CP,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer
Attacking Midfield,28,4,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,Hertha BSC,free transfer
Centre-Forward,35,4,Italy,Serie A,SSC Napoli,Turkey,Süper Lig,Galatasaray A.S.,free transfer
Left Midfield,26,4,Spain,LaLiga,Getafe CF,Czech Republic,Fortuna Liga,AC Sparta Prague,loan transfer
Central Midfield,24,4,England,Premier League,Leicester City,England,Championship,Watford FC,loan transfer
Attacking Midfield,21,4,United States,MLS,Colorado Rapids,Netherlands,Eredivisie,Fortuna Sittard,loan transfer
Defensive Midfield,32,4,England,Premier League,Crystal Palace,England,Premier League,Nottingham Forest,free transfer
Attacking Midfield,23,4,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Elche CF,loan transfer
Centre-Forward,27,4,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,AJ Auxerre,free transfer
Right-Back,21,4,England,Premier League,Manchester City,France,Ligue 1,Olympique Marseille,loan transfer
Centre-Back,24,4,France,Ligue 2,AS Saint-Étienne,Greece,Super League 1,AEK Athens,free transfer
Left Winger,22,4,United States,MLS,Inter Miami CF,United States,MLS,New York City FC,free transfer
Centre-Back,27,4,England,Premier League,Aston Villa,England,Championship,Watford FC,loan transfer
Left-Back,28,4,Italy,Serie A,Udinese Calcio,England,Championship,Watford FC,loan transfer
defence,23,4,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Famalicão,loan transfer
Right Winger,26,4,Spain,LaLiga,Sevilla FC,France,Ligue 1,ESTAC Troyes,loan transfer
Right Winger,30,4,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,UD Almería,?
Attacking Midfield,27,4,Italy,Serie B,Venezia FC,Italy,Serie B,Genoa CFC,loan transfer
Centre-Forward,23,4,Brazil,Série A,Botafogo de Futebol e Regatas,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Centre-Forward,20,4,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Sassuolo,loan transfer
Left Winger,21,4,Switzerland,Super League,BSC Young Boys,Netherlands,Eredivisie,SC Cambuur-Leeuwarden,loan transfer
Right Winger,34,4,Brazil,Série A,Sport Club Corinthians Paulista,England,Premier League,Fulham FC,free transfer
Left Winger,24,4,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,Torino FC,?
Centre-Back,34,4,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,loan transfer
Left Winger,25,3,Argentina,Liga Profesional,Defensa y Justicia,Mexico,Liga MX Apertura,CD Cruz Azul,3
Centre-Back,18,0.6,Ecuador,Serie A Segunda Etapa,Independiente del Valle,Belgium,Jupiler Pro League,Club Brugge KV,3
Defensive Midfield,25,2,Portugal,Liga Portugal,FC Famalicão,Italy,Serie A,US Cremonese,3
Central Midfield,27,3,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,3
Defensive Midfield,28,3,Netherlands,Eredivisie,FC Utrecht,Saudi Arabia,Professional League,Damac FC,1
Right Winger,31,3,Argentina,Liga Profesional,CA Boca Juniors,Mexico,Liga MX Apertura,UNAM Pumas,free transfer
Right-Back,21,3,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,VfB Stuttgart,3
Right Winger,29,3,Brazil,Série A,São Paulo Futebol Clube,United States,MLS,Austin FC,3
Left-Back,21,3,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,3
Left-Back,20,3,Scotland,Premiership,Hibernian FC,Italy,Serie A,Hellas Verona,3
Central Midfield,28,3,Italy,Serie B,Genoa CFC,Denmark,Superligaen,FC Copenhagen,3
Centre-Forward,34,2,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,3
Centre-Back,21,3,Portugal,Liga Portugal,Boavista FC,France,Ligue 1,ESTAC Troyes,3
Goalkeeper,32,2,Italy,Serie A,AS Roma,England,Premier League,Aston Villa,3
Centre-Forward,18,0.6,Cote d'Ivoire,Without League,ASEC Mimosas,Austria,Bundesliga,Red Bull Salzburg,3
Right-Back,22,2,Italy,Serie A,Atalanta BC,Italy,Serie B,Parma Calcio 1913,3
Centre-Back,26,3,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,3
Centre-Forward,18,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Spain,LaLiga,UD Almería,3
Central Midfield,22,2,Scotland,Premiership,Aberdeen FC,Italy,Serie A,Bologna FC 1909,3
Centre-Back,21,3,Austria,Bundesliga,Rapid Vienna,Italy,Serie A,US Cremonese,3
Left Winger,22,1,Germany,Bundesliga,VfB Stuttgart,England,Championship,Burnley FC,3
Left Winger,26,3,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,Spartak Moscow,3
Central Midfield,22,3,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,FK Rostov,3
Right Winger,23,3,Italy,Serie B,Genoa CFC,Italy,Serie A,Spezia Calcio,2
Goalkeeper,28,3,Italy,Serie A,Spezia Calcio,Italy,Serie A,SS Lazio,2
Centre-Back,31,3,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Club Brugge KV,2
Left Winger,24,3,Japan,J1 League,Yokohama F. Marinos,Scotland,Premiership,Celtic FC,1
Attacking Midfield,22,3,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,FC Schalke 04,1
